PASS
ok  	github.com/olekukonko/tablewriter	0.284s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	   10030	    114909 ns/op	  87.40 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8                	 3453544	       349.1 ns/op	 171.87 MB/s	     146 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8                	 3443858	       347.0 ns/op	 172.92 MB/s	     146 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8                	 3469286	       347.4 ns/op	 172.72 MB/s	     146 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8              	 3050086	       428.5 ns/op	 140.04 MB/s	     213 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8              	 5927800	       476.0 ns/op	 126.05 MB/s	     230 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8              	 5852149	       223.0 ns/op	 269.05 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8              	 5721747	       224.9 ns/op	 266.80 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8              	 5751147	       225.7 ns/op	 265.84 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8              	 5893626	       225.9 ns/op	 265.55 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8               	81984477	        14.52 ns/op	4132.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8               	79537578	        14.59 ns/op	4112.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8               	82339353	        14.56 ns/op	4119.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8               	82286889	        14.92 ns/op	4020.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8               	82166224	        14.53 ns/op	4129.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8               	83084276	        14.52 ns/op	4131.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8       	 1221180	       982.5 ns/op	  88.55 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8       	 1210902	       983.5 ns/op	  88.46 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8       	 1223528	       989.3 ns/op	  87.94 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8       	 1212517	       984.1 ns/op	  88.40 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8       	 1224182	       983.5 ns/op	  88.46 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8       	 1000000	      1007 ns/op	  86.36 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8     	  999058	      1364 ns/op	  63.76 MB/s	     603 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8     	 6682279	      1218 ns/op	  71.40 MB/s	     465 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8     	 6339568	       220.6 ns/op	 394.46 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8     	 6226921	       222.3 ns/op	 391.34 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8     	 6264051	       221.1 ns/op	 393.47 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8     	 6234439	       222.4 ns/op	 391.23 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8      	75337251	        15.64 ns/op	5562.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8      	76826634	        15.76 ns/op	5521.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8      	76836674	        15.79 ns/op	5508.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8      	76840162	        15.64 ns/op	5564.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8      	76694060	        15.60 ns/op	5577.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8      	76737175	        15.62 ns/op	5571.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8        	 1202406	      1012 ns/op	  85.93 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8        	 1000000	      1000 ns/op	  86.99 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8        	 1208559	       993.7 ns/op	  87.55 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8        	 1209415	       990.9 ns/op	  87.80 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8        	 1206118	      1020 ns/op	  85.33 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8        	 1211994	       990.6 ns/op	  87.82 MB/s	     194 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8      	 1000000	      1363 ns/op	  63.84 MB/s	     603 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8      	 6504960	      1214 ns/op	  71.65 MB/s	     465 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8      	 6349030	       220.2 ns/op	 395.18 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8      	 6183368	       220.3 ns/op	 394.99 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8      	 6240484	       220.6 ns/op	 394.32 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8      	 6280713	       222.0 ns/op	 391.95 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8       	69630140	        15.77 ns/op	5517.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8       	76043014	        15.65 ns/op	5559.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8       	76239080	        15.63 ns/op	5567.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8       	75864739	        15.88 ns/op	5479.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8       	71286422	        15.74 ns/op	5527.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8       	75704404	        15.71 ns/op	5536.58 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/olekukonko/tablewriter/pkg/twwidth	659.150s
?   	github.com/olekukonko/tablewriter/renderer	[no test files]
PASS
ok  	github.com/olekukonko/tablewriter/tests	3.025s
PASS
ok  	github.com/olekukonko/tablewriter/tw	0.283s
